,IID,01:03,02:02,02:01,01:04i2,02:06
243,HLA_244,2,0,0,0,0
244,HLA_245,1,1,0,0,0
245,HLA_246,0,1,1,0,0
246,HLA_247,1,1,0,0,0
247,HLA_248,1,0,1,0,0
248,HLA_249,2,0,0,0,0
249,HLA_250,0,2,0,0,0
250,HLA_251,2,0,0,0,0
251,HLA_252,1,0,1,0,0
252,HLA_253,2,0,0,0,0
253,HLA_254,2,0,0,0,0
254,HLA_255,1,0,1,0,0
255,HLA_256,1,0,1,0,0
256,HLA_257,2,0,0,0,0
257,HLA_258,2,0,0,0,0
258,HLA_259,2,0,0,0,0
259,HLA_260,2,0,0,0,0
260,HLA_261,2,0,0,0,0
261,HLA_262,2,0,0,0,0
262,HLA_263,2,0,0,0,0
263,HLA_264,1,0,1,0,0
264,HLA_265,1,1,0,0,0
265,HLA_266,2,0,0,0,0
266,HLA_267,2,0,0,0,0
267,HLA_268,1,1,0,0,0
268,HLA_269,2,0,0,0,0
269,HLA_270,2,0,0,0,0
270,HLA_271,2,0,0,0,0
271,HLA_272,2,0,0,0,0
272,HLA_273,2,0,0,0,0
273,HLA_274,2,0,0,0,0
274,HLA_275,1,1,0,0,0
275,HLA_276,1,0,1,0,0
276,HLA_277,1,0,1,0,0
277,HLA_278,2,0,0,0,0
278,HLA_279,1,0,1,0,0
279,HLA_280,1,0,1,0,0
280,HLA_281,2,0,0,0,0
281,HLA_282,1,0,1,0,0
282,HLA_283,2,0,0,0,0
283,HLA_284,1,0,1,0,0
284,HLA_285,1,0,1,0,0
285,HLA_286,2,0,0,0,0
286,HLA_287,1,0,1,0,0
287,HLA_288,2,0,0,0,0
288,HLA_289,1,0,1,0,0
289,HLA_290,2,0,0,0,0
290,HLA_291,1,0,1,0,0
291,HLA_292,2,0,0,0,0
292,HLA_293,2,0,0,0,0
293,HLA_294,2,0,0,0,0
294,HLA_295,2,0,0,0,0
295,HLA_296,2,0,0,0,0
296,HLA_297,0,1,1,0,0
297,HLA_298,1,0,1,0,0
298,HLA_299,1,1,0,0,0
299,HLA_300,1,0,1,0,0
300,HLA_301,2,0,0,0,0
301,HLA_302,2,0,0,0,0
302,HLA_303,1,0,1,0,0
303,HLA_304,2,0,0,0,0
304,HLA_305,1,0,1,0,0
305,HLA_306,2,0,0,0,0
306,HLA_307,1,0,0,0,1
307,HLA_308,2,0,0,0,0
308,HLA_309,2,0,0,0,0
309,HLA_310,2,0,0,0,0
310,HLA_311,1,1,0,0,0
311,HLA_312,1,0,1,0,0
312,HLA_313,0,2,0,0,0
313,HLA_314,1,0,1,0,0
314,HLA_315,2,0,0,0,0
315,HLA_316,1,0,0,1,0
316,HLA_317,1,1,0,0,0
317,HLA_318,2,0,0,0,0
318,HLA_319,1,1,0,0,0
319,HLA_320,1,1,0,0,0
320,HLA_321,2,0,0,0,0
321,HLA_322,2,0,0,0,0
322,HLA_323,1,0,1,0,0
323,HLA_324,2,0,0,0,0
324,HLA_325,2,0,0,0,0
325,HLA_326,2,0,0,0,0
326,HLA_327,1,1,0,0,0
327,HLA_328,1,0,1,0,0
328,HLA_329,2,0,0,0,0
329,HLA_330,2,0,0,0,0
330,HLA_331,2,0,0,0,0
331,HLA_332,2,0,0,0,0
332,HLA_333,1,0,1,0,0
333,HLA_334,2,0,0,0,0
334,HLA_335,0,2,0,0,0
335,HLA_336,0,1,1,0,0
336,HLA_337,2,0,0,0,0
337,HLA_338,1,0,1,0,0
338,HLA_339,1,0,1,0,0
339,HLA_340,1,1,0,0,0
340,HLA_341,1,0,1,0,0
341,HLA_342,2,0,0,0,0
342,HLA_343,1,1,0,0,0
343,HLA_344,2,0,0,0,0
344,HLA_345,2,0,0,0,0
345,HLA_346,1,1,0,0,0
346,HLA_347,0,0,2,0,0
347,HLA_348,2,0,0,0,0
348,HLA_349,2,0,0,0,0
349,HLA_350,1,1,0,0,0
350,HLA_351,2,0,0,0,0
351,HLA_352,2,0,0,0,0
352,HLA_353,2,0,0,0,0
353,HLA_354,0,1,1,0,0
354,HLA_355,2,0,0,0,0
355,HLA_356,2,0,0,0,0
356,HLA_357,0,0,2,0,0
357,HLA_358,1,0,1,0,0
358,HLA_359,2,0,0,0,0
359,HLA_360,2,0,0,0,0
360,HLA_361,2,0,0,0,0
361,HLA_362,2,0,0,0,0
362,HLA_363,2,0,0,0,0
363,HLA_364,1,0,1,0,0
364,HLA_365,1,0,1,0,0
365,HLA_366,2,0,0,0,0
366,HLA_367,2,0,0,0,0
367,HLA_368,1,0,1,0,0
368,HLA_369,2,0,0,0,0
369,HLA_370,2,0,0,0,0
370,HLA_371,1,0,1,0,0
371,HLA_372,1,1,0,0,0
372,HLA_373,2,0,0,0,0
373,HLA_374,1,0,1,0,0
374,HLA_375,2,0,0,0,0
375,HLA_376,2,0,0,0,0
376,HLA_377,2,0,0,0,0
377,HLA_378,2,0,0,0,0
378,HLA_379,2,0,0,0,0
379,HLA_380,2,0,0,0,0
380,HLA_381,1,1,0,0,0
381,HLA_382,2,0,0,0,0
382,HLA_383,0,1,0,0,1
383,HLA_384,1,1,0,0,0
384,HLA_385,1,0,1,0,0
385,HLA_386,2,0,0,0,0
386,HLA_387,2,0,0,0,0
387,HLA_388,2,0,0,0,0
388,HLA_389,2,0,0,0,0
389,HLA_390,1,0,0,0,1
390,HLA_391,2,0,0,0,0
391,HLA_392,2,0,0,0,0
392,HLA_393,2,0,0,0,0
393,HLA_394,2,0,0,0,0
394,HLA_395,0,2,0,0,0
395,HLA_396,1,0,0,0,1
396,HLA_397,2,0,0,0,0
397,HLA_398,2,0,0,0,0
398,HLA_399,2,0,0,0,0
399,HLA_400,0,1,1,0,0
400,HLA_401,2,0,0,0,0
401,HLA_402,0,2,0,0,0
402,HLA_403,1,1,0,0,0
403,HLA_404,1,0,1,0,0
404,HLA_405,2,0,0,0,0
405,HLA_406,2,0,0,0,0
406,HLA_407,2,0,0,0,0
407,HLA_408,0,1,1,0,0
408,HLA_409,1,0,1,0,0
409,HLA_410,1,0,1,0,0
410,HLA_411,1,0,1,0,0
411,HLA_412,1,0,1,0,0
412,HLA_413,2,0,0,0,0
413,HLA_414,2,0,0,0,0
414,HLA_415,1,0,1,0,0
415,HLA_416,1,0,1,0,0
416,HLA_417,1,1,0,0,0
417,HLA_418,2,0,0,0,0
418,HLA_419,2,0,0,0,0
419,HLA_420,1,0,1,0,0
420,HLA_421,1,0,1,0,0
421,HLA_422,2,0,0,0,0
422,HLA_423,2,0,0,0,0
423,HLA_424,2,0,0,0,0
424,HLA_425,1,0,1,0,0
425,HLA_426,2,0,0,0,0
426,HLA_427,2,0,0,0,0
427,HLA_428,2,0,0,0,0
428,HLA_429,2,0,0,0,0
429,HLA_430,2,0,0,0,0
430,HLA_431,1,1,0,0,0
431,HLA_432,2,0,0,0,0
432,HLA_433,0,2,0,0,0
433,HLA_434,1,1,0,0,0
434,HLA_435,2,0,0,0,0
435,HLA_436,0,2,0,0,0
436,HLA_437,1,0,1,0,0
437,HLA_438,1,1,0,0,0
438,HLA_439,1,0,1,0,0
439,HLA_440,0,0,2,0,0
440,HLA_441,2,0,0,0,0
441,HLA_442,0,0,2,0,0
442,HLA_443,1,1,0,0,0
443,HLA_444,2,0,0,0,0
444,HLA_445,2,0,0,0,0
445,HLA_446,0,1,1,0,0
446,HLA_447,2,0,0,0,0
447,HLA_448,2,0,0,0,0
448,HLA_449,2,0,0,0,0
449,HLA_450,0,1,1,0,0
450,HLA_451,1,0,1,0,0
451,HLA_452,1,1,0,0,0
452,HLA_453,1,0,1,0,0
453,HLA_454,2,0,0,0,0
454,HLA_455,2,0,0,0,0
455,HLA_456,1,1,0,0,0
456,HLA_457,2,0,0,0,0
457,HLA_458,2,0,0,0,0
458,HLA_459,2,0,0,0,0
459,HLA_460,2,0,0,0,0
460,HLA_461,1,1,0,0,0
461,HLA_462,2,0,0,0,0
462,HLA_463,1,0,1,0,0
463,HLA_464,2,0,0,0,0
464,HLA_465,2,0,0,0,0
465,HLA_466,2,0,0,0,0
466,HLA_467,2,0,0,0,0
467,HLA_468,1,0,1,0,0
468,HLA_469,2,0,0,0,0
469,HLA_470,2,0,0,0,0
470,HLA_471,1,0,1,0,0
471,HLA_472,1,0,1,0,0
472,HLA_473,1,1,0,0,0
473,HLA_474,2,0,0,0,0
474,HLA_475,2,0,0,0,0
475,HLA_476,2,0,0,0,0
476,HLA_477,2,0,0,0,0
477,HLA_478,1,0,1,0,0
478,HLA_479,2,0,0,0,0
479,HLA_480,2,0,0,0,0
480,HLA_481,1,0,1,0,0
481,HLA_482,2,0,0,0,0
482,HLA_483,2,0,0,0,0
483,HLA_484,0,2,0,0,0
484,HLA_485,1,0,1,0,0
485,HLA_486,2,0,0,0,0
486,HLA_487,2,0,0,0,0
487,HLA_488,2,0,0,0,0
488,HLA_489,2,0,0,0,0
489,HLA_490,1,0,1,0,0
490,HLA_491,0,2,0,0,0
491,HLA_492,2,0,0,0,0
492,HLA_493,0,2,0,0,0
493,HLA_494,1,1,0,0,0
494,HLA_495,1,0,1,0,0
495,HLA_496,1,1,0,0,0
496,HLA_497,1,1,0,0,0
497,HLA_498,2,0,0,0,0
498,HLA_499,1,0,1,0,0
499,HLA_500,0,2,0,0,0
500,HLA_501,2,0,0,0,0
501,HLA_502,1,0,1,0,0
502,HLA_503,1,0,0,0,1
503,HLA_504,2,0,0,0,0
504,HLA_505,0,0,2,0,0
505,HLA_506,2,0,0,0,0
506,HLA_507,2,0,0,0,0
507,HLA_508,1,0,0,0,1
508,HLA_509,1,0,1,0,0
509,HLA_510,2,0,0,0,0
510,HLA_511,0,0,2,0,0
511,HLA_512,1,1,0,0,0
512,HLA_513,2,0,0,0,0
513,HLA_514,1,1,0,0,0
514,HLA_515,1,0,1,0,0
515,HLA_516,2,0,0,0,0
516,HLA_517,2,0,0,0,0
517,HLA_518,2,0,0,0,0
518,HLA_519,2,0,0,0,0
519,HLA_520,1,1,0,0,0
520,HLA_521,2,0,0,0,0
521,HLA_522,0,1,1,0,0
522,HLA_523,2,0,0,0,0
523,HLA_524,2,0,0,0,0
524,HLA_525,2,0,0,0,0
525,HLA_526,1,1,0,0,0
526,HLA_527,2,0,0,0,0
527,HLA_528,2,0,0,0,0
528,HLA_529,1,0,1,0,0
529,HLA_530,0,1,1,0,0
530,HLA_531,2,0,0,0,0
531,HLA_532,0,2,0,0,0
532,HLA_533,1,0,1,0,0
533,HLA_534,2,0,0,0,0
534,HLA_535,2,0,0,0,0
535,HLA_536,2,0,0,0,0
536,HLA_537,1,1,0,0,0
537,HLA_538,1,0,1,0,0
538,HLA_539,2,0,0,0,0
539,HLA_540,2,0,0,0,0
540,HLA_541,1,0,0,0,1
541,HLA_542,1,1,0,0,0
542,HLA_543,1,1,0,0,0
543,HLA_544,2,0,0,0,0
544,HLA_545,2,0,0,0,0
545,HLA_546,2,0,0,0,0
546,HLA_547,1,1,0,0,0
547,HLA_548,2,0,0,0,0
548,HLA_549,1,0,1,0,0
549,HLA_550,0,2,0,0,0
550,HLA_551,2,0,0,0,0
551,HLA_552,2,0,0,0,0
552,HLA_553,0,2,0,0,0
553,HLA_554,1,0,1,0,0
554,HLA_555,1,0,1,0,0
555,HLA_556,2,0,0,0,0
556,HLA_557,2,0,0,0,0
557,HLA_558,1,1,0,0,0
558,HLA_559,2,0,0,0,0
559,HLA_560,2,0,0,0,0
560,HLA_561,2,0,0,0,0
561,HLA_562,2,0,0,0,0
562,HLA_563,2,0,0,0,0
563,HLA_564,2,0,0,0,0
564,HLA_565,2,0,0,0,0
565,HLA_566,1,0,1,0,0
566,HLA_567,0,1,0,0,1
567,HLA_568,1,1,0,0,0
568,HLA_569,1,1,0,0,0
569,HLA_570,2,0,0,0,0
570,HLA_571,2,0,0,0,0
571,HLA_572,0,1,1,0,0
572,HLA_573,2,0,0,0,0
573,HLA_574,1,0,1,0,0
574,HLA_575,2,0,0,0,0
575,HLA_576,2,0,0,0,0
576,HLA_577,2,0,0,0,0
577,HLA_578,0,1,0,0,1
578,HLA_579,0,0,2,0,0
579,HLA_580,2,0,0,0,0
580,HLA_581,1,0,1,0,0
581,HLA_582,1,0,1,0,0
582,HLA_583,1,0,0,0,1
583,HLA_584,1,0,1,0,0
584,HLA_585,2,0,0,0,0
585,HLA_586,2,0,0,0,0
586,HLA_587,2,0,0,0,0
587,HLA_588,0,0,2,0,0
588,HLA_589,1,0,1,0,0
589,HLA_590,2,0,0,0,0
590,HLA_591,2,0,0,0,0
591,HLA_592,2,0,0,0,0
592,HLA_593,2,0,0,0,0
593,HLA_594,2,0,0,0,0
594,HLA_595,2,0,0,0,0
595,HLA_596,1,0,1,0,0
596,HLA_597,1,1,0,0,0
597,HLA_598,1,0,1,0,0
598,HLA_599,0,1,1,0,0
599,HLA_600,0,1,1,0,0
600,HLA_601,1,0,1,0,0
601,HLA_602,1,0,1,0,0
602,HLA_603,1,1,0,0,0
603,HLA_604,2,0,0,0,0
604,HLA_605,1,0,1,0,0
605,HLA_606,2,0,0,0,0
606,HLA_607,1,0,1,0,0
607,HLA_608,2,0,0,0,0
608,HLA_609,1,1,0,0,0
609,HLA_610,0,2,0,0,0
610,HLA_611,0,2,0,0,0
611,HLA_612,1,0,1,0,0
612,HLA_613,2,0,0,0,0
613,HLA_614,1,0,1,0,0
614,HLA_615,2,0,0,0,0
615,HLA_616,1,0,1,0,0
616,HLA_617,1,0,1,0,0
617,HLA_618,2,0,0,0,0
618,HLA_619,1,1,0,0,0
619,HLA_620,1,0,1,0,0
620,HLA_621,1,0,1,0,0
621,HLA_622,2,0,0,0,0
622,HLA_623,0,0,2,0,0
623,HLA_624,2,0,0,0,0
624,HLA_625,1,0,0,0,1
625,HLA_626,1,1,0,0,0
626,HLA_627,2,0,0,0,0
627,HLA_628,1,1,0,0,0
628,HLA_629,2,0,0,0,0
629,HLA_630,2,0,0,0,0
630,HLA_631,0,2,0,0,0
631,HLA_632,2,0,0,0,0
632,HLA_633,2,0,0,0,0
633,HLA_634,2,0,0,0,0
634,HLA_635,0,2,0,0,0
635,HLA_636,1,0,1,0,0
636,HLA_637,1,1,0,0,0
637,HLA_638,1,0,1,0,0
638,HLA_639,2,0,0,0,0
639,HLA_640,2,0,0,0,0
640,HLA_641,2,0,0,0,0
641,HLA_642,2,0,0,0,0
642,HLA_643,1,0,1,0,0
643,HLA_644,2,0,0,0,0
644,HLA_645,1,1,0,0,0
645,HLA_646,1,1,0,0,0
646,HLA_647,2,0,0,0,0
647,HLA_648,2,0,0,0,0
648,HLA_649,1,0,1,0,0
649,HLA_650,2,0,0,0,0
650,HLA_651,1,1,0,0,0
651,HLA_652,2,0,0,0,0
652,HLA_653,2,0,0,0,0
653,HLA_654,2,0,0,0,0
654,HLA_655,2,0,0,0,0
655,HLA_656,2,0,0,0,0
656,HLA_657,2,0,0,0,0
657,HLA_658,2,0,0,0,0
658,HLA_659,2,0,0,0,0
659,HLA_660,2,0,0,0,0
660,HLA_661,1,1,0,0,0
661,HLA_662,1,0,1,0,0
662,HLA_663,1,0,1,0,0
663,HLA_664,2,0,0,0,0
664,HLA_665,2,0,0,0,0
665,HLA_666,1,0,1,0,0
666,HLA_667,2,0,0,0,0
667,HLA_668,2,0,0,0,0
668,HLA_669,2,0,0,0,0
669,HLA_670,0,1,1,0,0
670,HLA_671,1,1,0,0,0
671,HLA_672,1,0,1,0,0
672,HLA_673,2,0,0,0,0
673,HLA_674,1,0,1,0,0
674,HLA_675,2,0,0,0,0
675,HLA_676,2,0,0,0,0
676,HLA_677,1,0,1,0,0
677,HLA_678,2,0,0,0,0
678,HLA_679,1,1,0,0,0
679,HLA_680,1,0,1,0,0
680,HLA_681,2,0,0,0,0
681,HLA_682,2,0,0,0,0
682,HLA_683,1,0,1,0,0
683,HLA_684,1,0,1,0,0
684,HLA_685,2,0,0,0,0
685,HLA_686,1,1,0,0,0
686,HLA_687,0,2,0,0,0
687,HLA_688,2,0,0,0,0
688,HLA_689,2,0,0,0,0
689,HLA_690,2,0,0,0,0
690,HLA_691,2,0,0,0,0
691,HLA_692,0,2,0,0,0
692,HLA_693,1,0,1,0,0
693,HLA_694,1,1,0,0,0
694,HLA_695,1,1,0,0,0
695,HLA_696,2,0,0,0,0
696,HLA_697,2,0,0,0,0
697,HLA_698,1,0,1,0,0
698,HLA_699,2,0,0,0,0
699,HLA_700,2,0,0,0,0
700,HLA_701,1,1,0,0,0
701,HLA_702,1,1,0,0,0
702,HLA_703,1,0,1,0,0
703,HLA_704,1,0,1,0,0
704,HLA_705,2,0,0,0,0
705,HLA_706,2,0,0,0,0
706,HLA_707,2,0,0,0,0
707,HLA_708,2,0,0,0,0
708,HLA_709,2,0,0,0,0
709,HLA_710,0,2,0,0,0
710,HLA_711,2,0,0,0,0
711,HLA_712,2,0,0,0,0
712,HLA_713,1,1,0,0,0
713,HLA_714,0,2,0,0,0
714,HLA_715,2,0,0,0,0
715,HLA_716,2,0,0,0,0
716,HLA_717,1,0,1,0,0
717,HLA_718,2,0,0,0,0
718,HLA_719,2,0,0,0,0
719,HLA_720,2,0,0,0,0
720,HLA_721,2,0,0,0,0
721,HLA_722,2,0,0,0,0
722,HLA_723,2,0,0,0,0
723,HLA_724,2,0,0,0,0
724,HLA_725,2,0,0,0,0
725,HLA_726,2,0,0,0,0
726,HLA_727,1,0,1,0,0
727,HLA_728,2,0,0,0,0
728,HLA_729,1,0,1,0,0
729,HLA_730,2,0,0,0,0
730,HLA_731,1,1,0,0,0
731,HLA_732,1,1,0,0,0
732,HLA_733,0,2,0,0,0
733,HLA_734,2,0,0,0,0
734,HLA_735,1,0,1,0,0
735,HLA_736,2,0,0,0,0
736,HLA_737,2,0,0,0,0
737,HLA_738,2,0,0,0,0
738,HLA_739,2,0,0,0,0
739,HLA_740,1,0,1,0,0
740,HLA_741,2,0,0,0,0
741,HLA_742,1,0,1,0,0
742,HLA_743,2,0,0,0,0
743,HLA_744,1,1,0,0,0
744,HLA_745,2,0,0,0,0
745,HLA_746,2,0,0,0,0
746,HLA_747,1,1,0,0,0
747,HLA_748,1,0,1,0,0
748,HLA_749,2,0,0,0,0
749,HLA_750,2,0,0,0,0
750,HLA_751,2,0,0,0,0
751,HLA_752,2,0,0,0,0
752,HLA_753,1,0,1,0,0
753,HLA_754,0,2,0,0,0
754,HLA_755,0,0,2,0,0
755,HLA_756,1,1,0,0,0
756,HLA_757,2,0,0,0,0
757,HLA_758,2,0,0,0,0
758,HLA_759,0,2,0,0,0
759,HLA_760,1,0,1,0,0
760,HLA_761,2,0,0,0,0
761,HLA_762,1,1,0,0,0
762,HLA_763,1,0,1,0,0
763,HLA_764,2,0,0,0,0
764,HLA_765,1,0,0,1,0
765,HLA_766,2,0,0,0,0
766,HLA_767,2,0,0,0,0
767,HLA_768,1,1,0,0,0
768,HLA_769,2,0,0,0,0
769,HLA_770,2,0,0,0,0
770,HLA_771,1,0,1,0,0
